date,,SP500,Gold,Fund,Ethereum
2017-11-30,Ethereum,-0.10395353776868303,0.46350553609609596,0.5746298947559467,0.9999999999999996
2017-12-31,SP500,0.9999999999999986,-0.3498077849758777,0.09071506466388349,-0.19697173114662403
2017-12-31,Gold,-0.3498077849758777,0.9999999999999991,0.20754337477655588,0.41669062542694474
2017-12-31,Fund,0.09071506466388349,0.20754337477655588,1.0,0.561347391829253
2017-12-31,Ethereum,-0.19697173114662403,0.41669062542694474,0.561347391829253,0.9999999999999996
2018-01-31,SP500,0.9999999999999986,-0.3378837068377757,0.05916593644018189,-0.2130180736868143
2018-01-31,Gold,-0.3378837068377757,0.9999999999999988,0.3286687991792231,0.5541247821166508
2018-01-31,Fund,0.05916593644018189,0.3286687991792231,1.0000000000000004,0.5316066771336875
2018-01-31,Ethereum,-0.2130180736868143,0.5541247821166508,0.5316066771336875,0.9999999999999992
2018-02-28,SP500,0.999999999999999,-0.2629839562619368,0.2295463062714928,0.01912761524293473
2018-02-28,Gold,-0.2629839562619368,0.9999999999999988,0.3350964281516266,0.5539914550351931
2018-02-28,Fund,0.2295463062714928,0.3350964281516266,1.0000000000000002,0.5660637287478574
2018-02-28,Ethereum,0.01912761524293473,0.5539914550351931,0.5660637287478574,0.9999999999999999
2018-03-31,SP500,0.9999999999999993,-0.2020743897384834,-0.1401845516214461,-0.1341708557198348
2018-03-31,Gold,-0.2020743897384834,0.9999999999999981,0.35820899891942654,0.49720898911141637
2018-03-31,Fund,-0.1401845516214461,0.35820899891942654,1.0000000000000002,0.8695947631722412
2018-03-31,Ethereum,-0.1341708557198348,0.49720898911141637,0.8695947631722412,0.9999999999999991
